fips,votes,Percent of adults with less than a high school diploma,Percent of adults with a high school diploma only,Percent of adults completing some college or associate's degree,Percent of adults with a bachelor's degree or higher,Unemployment_rate,POP_ESTIMATE,Amish,Buddhist,Catholic,Christian Generic,Eastern Orthodox,Hindu,Jewish,Mainline Christian,Mormon,Muslim,Non-Catholic Christian,Other,Other Christian,Other Misc,Pentecostal / Charismatic,Protestant Denomination,Zoroastrian,MedHHInc,PerCapitaInc,PovertyUnder18Pct,PovertyAllAgesPct,Deep_Pov_All,Deep_Pov_Children,Population,Housing units,Area in square miles - Total area,Area in square miles - Water area,Area in square miles - Land area,Density per square mile of land area - Population,Density per square mile of land area - Housing units,age_total_pop,0-4_rate,5-9_rate,10-14_rate,15-19_rate,20-24_rate,25-29_rate,30-34_rate,35-39_rate,40-44_rate,45-49_rate,50-54_rate,55-59_rate,60-64_rate,65-69_rate,70-74_rate,75-79_rate,80-84_rate,85+_rate,TOT_MALE_rate,TOT_FEMALE_rate,WHITE_MALE_rate,WHITE_FEMALE_rate,BLACK_MALE_rate,BLACK_FEMALE_rate,NATIVE_AMERICAN_MALE_rate,NATIVE_AMERICAN_FEMALE_rate,ASIAN_MALE_rate,ASIAN_FEMALE_rate,HAWAIIAN_PACIFIC_MALE_rate,HAWAIIAN_PACIFIC_FEMALE_rate,MULTI_MALE_rate,MULTI_FEMALE_rate,WHITE_rate,BLACK_rate,NATIVE_AMERICAN_rate,HAWAIIAN_PACIFIC_rate,MULTI_rate,voter_turnout_rate,Democrat
22047,16819,22.556,39.744,24.312,13.387,10.4,33152,0,0,663,405,0,0,0,27,0,9,74,9,0,299,4,0,0,41679,22397,32.5,22.8,8.836768538,14.52521837,33387,12707,652.86,34.23,618.63,54,20.5,33095,0.056020547,0.058588911,0.058588911,0.061157275,0.07028252,0.074542982,0.074210606,0.066173138,0.061489651,0.06768394,0.076748754,0.072971748,0.060552954,0.048073727,0.033660674,0.026801632,0.016649041,0.015259103,0.509412298,0.490587702,0.251548572,0.24354132,0.249101073,0.239008914,0.00129929,0.001057562,0.00259858,0.002326635,0.000271944,0.000211512,0.004592839,0.004441759,0.490759877,0.483841016,0.002336239,0.000479228,0.008955582,0.507329875,1
22049,7437,19.955,43.283,23.113,13.649,7.4,15946,0,0,18,636,0,0,0,69,7,0,493,7,0,18,54,0,0,41192,19293,30.4,21.2,11.74605316,19.67723669,16274,7680,580.28,11.09,569.18,28.6,13.5,15858,0.055177198,0.065014504,0.065014504,0.057447345,0.06015891,0.066464876,0.066780174,0.060348089,0.057510405,0.062555177,0.068987262,0.067221592,0.063185774,0.060726447,0.044393997,0.034808929,0.024025728,0.022070879,0.511666036,0.488333964,0.350044142,0.338441165,0.152162946,0.139551015,0.001387312,0.001702611,0.000756716,0.00176567,6.31E-05,0.000126119,0.00725186,0.006747383,0.670886076,0.284257097,0.003010938,0.000184343,0.013641391,0.466386555,0
22051,172325,15.313,31.131,28.739,24.816,7.2,436888,0,2,688,172,0,1,5,30,6,6,59,22,1,52,25,2,0,49681,28067,26.3,16.1,6.864942416,11.66977099,432552,189135,665.42,369.79,295.63,1463.1,639.8,436275,0.062208469,0.062052604,0.062052604,0.055121196,0.06245602,0.074815197,0.073155693,0.064319523,0.060147843,0.062254312,0.072007335,0.073128187,0.065119477,0.053184345,0.037173801,0.025603117,0.018300384,0.020904246,0.485102286,0.514897714,0.325012893,0.336262678,0.12777262,0.145234084,0.003172311,0.003007278,0.020640651,0.021711077,0.000327775,0.000378202,0.008176036,0.008304395,0.666967209,0.275356489,0.006232777,0.000712053,0.016622279,0.394437476,0
22053,13497,20.979,41.275,23.201,14.546,7.2,31428,0,0,1019,250,0,0,0,61,7,0,148,7,9,22,7,0,0,42134,22665,25.9,19.3,8.558485155,13.5810378,31594,13306,658.56,7.23,651.33,48.5,20.4,31439,0.070644741,0.07427081,0.07427081,0.065714558,0.063583447,0.06167499,0.063456217,0.058144343,0.057062884,0.059671109,0.071758008,0.070771971,0.058144343,0.048602055,0.036578772,0.029390248,0.021088457,0.019116384,0.490505423,0.509494577,0.392156239,0.407646554,0.083176946,0.086135055,0.003562454,0.004039569,0.001590381,0.001431343,6.36E-05,0.000159038,0.009955787,0.010083018,0.795878964,0.168481357,0.007564727,0.000221561,0.019940495,0.429457808,0
22055,96755,13.638,28.238,27.238,30.886,5.9,239665,0,0,902,304,0,0,0,45,5,1,173,8,1,50,33,0,0,51125,30403,22.9,18.1,7.678048483,10.33077963,221578,93656,269.21,0.49,268.72,824.6,348.5,240098,0.069467467,0.067601563,0.067601563,0.064402869,0.075056852,0.091329374,0.079305117,0.068230473,0.059200826,0.059750602,0.065619039,0.065752318,0.054769303,0.041612175,0.02635174,0.019462886,0.014323318,0.013527809,0.489104449,0.510895551,0.34698748,0.354217861,0.123707819,0.137114845,0.001965864,0.002153287,0.008913027,0.009087956,0.000237403,0.000287383,0.007292855,0.008034219,0.7598137,0.282622824,0.00446344,0.000568649,0.016608147,0.403709344,0
22057,37875,24.691,39.277,19.874,16.158,6.1,98363,0,0,1151,85,0,0,0,20,0,0,45,1,0,14,6,0,0,52220,25299,22.6,17.1,6.673954862,9.726688103,96318,38582,1474.31,406.09,1068.21,90.2,36.1,98325,0.063107043,0.068578693,0.068578693,0.065059751,0.067551487,0.075291126,0.069209255,0.062130689,0.057584541,0.066493771,0.075199593,0.069087211,0.055713196,0.046834477,0.034589372,0.025008899,0.017808289,0.016079329,0.492407831,0.507592169,0.396348843,0.406692093,0.065547928,0.072962115,0.015174167,0.014085939,0.004830918,0.004739385,0.000325451,0.00029494,0.010180524,0.008817696,0.819774082,0.141396208,0.029869806,0.000633319,0.01939409,0.385053323,0
22059,6490,24.236,42.802,21.919,11.043,5.7,14984,0,0,12,623,0,0,0,73,0,0,524,0,0,10,15,0,0,45169,19434,22.9,19.3,7.506071087,12.33441272,14890,6560,662.39,37.71,624.68,23.8,10.5,14974,0.058835315,0.065981034,0.065981034,0.062775477,0.064845733,0.072392146,0.070188326,0.066114599,0.059970616,0.060571658,0.063843996,0.065780687,0.059169227,0.051956725,0.040670496,0.028582877,0.023373848,0.016228129,0.518498731,0.481501269,0.427941766,0.420395352,0.077601175,0.048817951,0.006143983,0.006210765,0.001335648,0.001268866,0.00026713,0,0.005209029,0.004808334,0.853122901,0.127132304,0.012424446,0.000268637,0.010073875,0.433128671,0
22061,18678,12.518,27.549,24.569,35.365,9.2,47634,0,0,61,454,0,0,0,106,8,6,328,15,0,0,20,0,0,39158,21452,32.4,30.2,17.3269344,15.99357258,46735,19479,472.47,0.73,471.74,99.1,41.3,47774,0.059886131,0.055176456,0.055176456,0.104973417,0.185728639,0.070142755,0.057981329,0.049064345,0.044459329,0.044543057,0.051869218,0.049713233,0.046426927,0.041738184,0.029472098,0.022438984,0.016222213,0.01708042,0.488215347,0.511784653,0.27866622,0.273182066,0.191108134,0.223824675,0.001925734,0.002093189,0.009063507,0.006635408,0.000627957,0.000418638,0.006823795,0.005630678,0.564116829,0.424157484,0.00410827,0.001069862,0.012731358,0.392114876,0
22063,52936,16.09,40.219,26.291,17.4,7.3,137564,0,0,252,356,0,0,0,44,9,0,245,10,0,50,15,1,0,58318,26558,16.8,12.6,6.697159006,8.424504566,128026,50170,702.85,54.68,648.17,197.5,77.4,137788,0.068220745,0.074244492,0.074244492,0.066566029,0.061964757,0.069846431,0.074955729,0.069940779,0.068721514,0.066355561,0.067850611,0.063771881,0.053096061,0.044699103,0.032266961,0.020284785,0.012424885,0.010109734,0.493214213,0.506785787,0.449937585,0.460656951,0.032136325,0.033377362,0.002242576,0.002554649,0.002656255,0.004056957,0.000174181,0.000239498,0.006067292,0.005900369,0.980027494,0.070509115,0.005163014,0.000445222,0.012880196,0.384809979,0
22065,5154,25.554,40.369,22.06,12.017,12.7,11552,0,0,15,390,0,0,0,67,0,0,317,0,0,0,0,6,0,27306,14564,56.4,41.3,14.3454455,21.66484915,12093,4804,650.9,26.46,624.44,19.4,7.7,11514,0.072867813,0.065138093,0.065138093,0.05827688,0.076428696,0.084505819,0.076602397,0.060795553,0.057321522,0.065572347,0.060708702,0.064356436,0.056539865,0.048028487,0.032482196,0.021799548,0.015806844,0.017283307,0.499044641,0.500955359,0.179954838,0.182994615,0.312228591,0.309015112,0.001215911,0.001476463,0.001997568,0.00112906,0,0.000173702,0.003647733,0.006166406,0.345571818,0.591499214,0.002563466,0.000165385,0.009344249,0.44615651,1
